pair_id,generator_model,prompt_version,real_len,fake_len,len_ratio,real_bucket,fake_bucket,text,is_fake,source
wb_pair_00053,claude-sonnet-4-5,paired_v2_tone_matched,258,298,1.1550387596899223,negative,mixed,"Заказываю уже третий раз, животное ест нормально. Консистенция бывает разная честно говоря, то погуще то пожиже, но особо не заморачиваюсь. Может от партии зависит или от температуры при доставке. Пока проблем не было, кот доволен. Цена адекватная, буду смотреть ещё варианты но этот тоже подходит.",1,synthetic_llm_tone_matched
wb_pair_00116,claude-sonnet-4-5,resume_no_categories_relaxed,249,331,1.329317269076305,neutral,negative,"Брала эту пасту уже второй раз, в прошлый раз все нормально было. Сейчас пришла, упаковка вроде целая, но срок годности смутил - до конца месяца всего. Ну ладно, использую быстро, но все равно неприятно что ли. Хотя по качеству претензий нет, паста хорошая, вкус нормальный. Просто хотелось бы чтоб сроки получше были при доставке.",1,synthetic_llm_tone_matched
wb_pair_00002,claude-sonnet-4-5,paired_v2_tone_matched,278,331,1.1906474820143884,negative,mixed,"Читала много хороших отзывов, решила попробовать это молоко. Пришло нормальное, консистенция обычная, не расслаивалось. Вкус приятный, сладковатое немного. Использовала для кофе и каши, подходит хорошо. Единственное, упаковка немного помятая была, но на качество не повлияло. В целом неплохой вариант кокосового молока, можно брать",1,synthetic_llm_tone_matched
wb_pair_00009,claude-sonnet-4-5,paired_v2_tone_matched,316,384,1.2151898734177216,neutral,negative,"Вкуса розы нет,скорее какой-то непонятный привкус,едва уловимый. Есть с чем сравнивать.Мне подарили лукум со вкусом розы. Который тает во рту, и аромат розы достаточно насыщенный и натуральный.И я решил купить нечто похожее,руководствуясь отзывами. И вот, не могу понять,толи у людей вкуса нет,или мне такой попался?",0,wildberries_real
wb_pair_00083,claude-sonnet-4-5,resume_no_categories_relaxed,101,183,1.811881188118812,neutral,negative,"Карточки пришли в нормальном состоянии, один уголок чуть загнут был но это не критично. В целом качество неплохое, плотный картон. Буду пользоваться, посмотрю как себя покажут в деле.",1,synthetic_llm_tone_matched
wb_pair_00076,claude-sonnet-4-5,resume_no_categories_relaxed,276,430,1.5579710144927537,negative,negative,"Купила тут недавно, в целом нормально работает но есть нюанс. Через месяц начала замечать что работает не так как должно. Решила разобраться - оказалось производитель вполне адекватный, ответили быстро и все объяснили. Даже не ожидала такого сервиса честно говоря. Сама платформа конечно иногда подводит с логистикой, но это уже другая история. По товару претензий особо нет, главное что если что-то не так производитель на связи.",1,synthetic_llm_tone_matched
wb_pair_00046,claude-sonnet-4-5,paired_v2_tone_matched,222,264,1.1891891891891893,neutral,negative,"Заказывала с опаской, читала всякое. Но пришло нормально, упаковка целая, крышка закрыта. Доставка правда долгая была, недели полторы где-то. Думала тоже вскрытая придет, но нет. Может повезло просто, не знаю. В общем товар получила в порядке, претензий особо нет.",1,synthetic_llm_tone_matched
wb_pair_00109,claude-sonnet-4-5,resume_no_categories_relaxed,103,165,1.6019417475728157,negative,mixed,Замечательные семена чиа возможно. Но мне из не попробовать. Что за невнимательность!!! Зачем мне кокос,0,wildberries_real
wb_pair_00005,claude-sonnet-4-5,paired_v2_tone_matched,214,276,1.2897196261682242,neutral,negative,Здравствуйте! Стала заканчивается упаковка считаю что должно хватить на 1.5 месяца а по факту не хватает в банке 10 штук! Как вы так делаете? Из за такого обмана заказывать больше не буду или проверять надо как то!,0,wildberries_real
wb_pair_00025,claude-sonnet-4-5,paired_v2_tone_matched,119,144,1.2100840336134453,negative,negative,"Пришло всё правильно, но сначала думала что не то. Потом разобралась, просто упаковка другая была. В целом норм, претензий особо нет, пользуюсь.",1,synthetic_llm_tone_matched
wb_pair_00087,claude-sonnet-4-5,resume_no_categories_relaxed,47,74,1.574468085106383,neutral,negative,"Ну такое.. Сахзам чувствуется, но терпимо. Может кому зайдёт, мне не очень",1,synthetic_llm_tone_matched
wb_pair_00057,claude-sonnet-4-5,resume_no_categories_relaxed,423,501,1.1843971631205674,negative,negative,"4 раза покупала пасту этой фирмы на подарки, из-за отзывов. только один раз пришла упакована нормально, в спаяный пакет. Причем самая дешевая из них! 1 раз вскрытая и надъеденая, 1раз протекшая, 1раз со следами от грязных пальцев. Одно разочарование! Не понимаю прикола, покупаешь шампунь за 200 р попакуют в сто пакетов и коробку, покупаешь пасту за 850р приходит банка как есть. Все помацали кто мог, кушайте на здоровье!",0,wildberries_real
