pair_id,orig_pair_id,generator_model,prompt_version,real_len,fake_len,len_ratio,real_bucket,fake_bucket,text,is_fake,source
wb_pair_00053,wb_pair_00053,claude-sonnet-4-5,paired_v2_tone_matched_len_balanced,258,231,0.8953488372093024,negative,mixed,"Заказываю уже третий раз, животное ест нормально. Консистенция бывает разная честно говоря, то погуще то пожиже, но особо не заморачиваюсь. Может от партии зависит или от температуры при доставке. Пока проблем не было, кот доволен.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00116,wb_pair_00116,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,249,210,0.8433734939759037,neutral,negative,"Брала эту пасту уже второй раз, в прошлый раз все нормально было. Сейчас пришла, упаковка вроде целая, но срок годности смутил - до конца месяца всего. Ну ладно, использую быстро, но все равно неприятно что ли.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00002,wb_pair_00002,claude-sonnet-4-5,paired_v2_tone_matched_len_balanced,278,275,0.9892086330935251,negative,negative,"Читала много хороших отзывов, решила попробовать это молоко. Пришло нормальное, консистенция обычная, не расслаивалось. Вкус приятный, сладковатое немного. Использовала для кофе и каши, подходит хорошо. Единственное, упаковка немного помятая была, но на качество не повлияло.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00009,wb_pair_00009,claude-sonnet-4-5,paired_v2_tone_matched_len_balanced,316,301,0.9525316455696202,neutral,negative,"Вкуса розы нет,скорее какой-то непонятный привкус,едва уловимый. Есть с чем сравнивать.Мне подарили лукум со вкусом розы. Который тает во рту, и аромат розы достаточно насыщенный и натуральный.И я решил купить нечто похожее,руководствуясь отзывами. И вот, не могу понять,толи у людей вкуса нет,или мне такой попался?",0,wildberries_real
wb_pair_00083,wb_pair_00083,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,101,87,0.8613861386138614,neutral,negative,"Карточки пришли в нормальном состоянии, один уголок чуть загнут был но это не критично.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00076,wb_pair_00076,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,276,264,0.9565217391304348,negative,negative,"Купила тут недавно, в целом нормально работает но есть нюанс. Через месяц начала замечать что работает не так как должно. Решила разобраться - оказалось производитель вполне адекватный, ответили быстро и все объяснили. Даже не ожидала такого сервиса честно говоря.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00046,wb_pair_00046,claude-sonnet-4-5,paired_v2_tone_matched_len_balanced,222,209,0.9414414414414415,neutral,negative,"Заказывала с опаской, читала всякое. Но пришло нормально, упаковка целая, крышка закрыта. Доставка правда долгая была, недели полторы где-то. Думала тоже вскрытая придет, но нет. Может повезло просто, не знаю.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00109,wb_pair_00109,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,103,76,0.7378640776699029,negative,positive,Замечательные семена чиа возможно. Но мне из не попробовать. Что за невнимательность!!! Зачем мне кокос,0,wildberries_real
wb_pair_00005,wb_pair_00005,claude-sonnet-4-5,paired_v2_tone_matched_len_balanced,214,210,0.9813084112149533,neutral,negative,Здравствуйте! Стала заканчивается упаковка считаю что должно хватить на 1.5 месяца а по факту не хватает в банке 10 штук! Как вы так делаете? Из за такого обмана заказывать больше не буду или проверять надо как то!,0,wildberries_real
wb_pair_00025,wb_pair_00025,claude-sonnet-4-5,paired_v2_tone_matched_len_balanced,119,98,0.8235294117647058,negative,negative,"Пришло всё правильно, но сначала думала что не то. Потом разобралась, просто упаковка другая была.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00087,wb_pair_00087,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,47,42,0.8936170212765957,mixed,negative,"Ну такое.. Сахзам чувствуется, но терпимо.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00057,wb_pair_00057,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,423,426,1.0070921985815602,negative,negative,"4 раза покупала пасту этой фирмы на подарки, из-за отзывов. только один раз пришла упакована нормально, в спаяный пакет. Причем самая дешевая из них! 1 раз вскрытая и надъеденая, 1раз протекшая, 1раз со следами от грязных пальцев. Одно разочарование! Не понимаю прикола, покупаешь шампунь за 200 р попакуют в сто пакетов и коробку, покупаешь пасту за 850р приходит банка как есть. Все помацали кто мог, кушайте на здоровье!",0,wildberries_real
wb_pair_00068,wb_pair_00068,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,198,198,1.0,neutral,negative,"Заказывала этот урбеч уже несколько раз. Банка всегда приходит нормально упакованная, крышка закрыта герметично. Один раз правда была небольшая вмятина на крышке, но это не критично, урбеч не вытек.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00045,wb_pair_00045,claude-sonnet-4-5,paired_v2_tone_matched_len_balanced,355,326,0.9183098591549296,negative,mixed,"Вообще не понравилась. Жесткая, царапучая. Кажется, будто не контролируешь ситуацию, когда работаешь с ней. Даже не знаю для чего ее приспособить 🤷🏼‍♀️ хотела купить такую же, но с ворсом покороче, теперь не буду, тк она тоже из козы и вероятнее всего такая же по качеству. Эх, надеялась, что у лимони хорошие кисти из натур ворса, а на деле разочарование",0,wildberries_real
wb_pair_00032,wb_pair_00032,claude-sonnet-4-5,paired_v2_tone_matched_len_balanced,169,169,1.0,negative,negative,"База неплохая, ногти держатся дней 10 точно. Правда один раз край чуть отслоился, но я думаю сам виноват, плохо обезжирил наверное. В целом норм, особенно за такую цену.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00071,wb_pair_00071,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,200,205,1.025,neutral,negative,"Заказывала это кокосовое молоко в первый раз, почитала состав - вроде нормальный. Пришло всё запечатано, без повреждений. Открыла дома, попробовала - вкус немного странный, не то чтобы прям кокос, но пить.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00139,wb_pair_00139,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,199,179,0.8994974874371859,negative,negative,"Патчи пришли нормально, гель на месте, ничего не протекло. Банка закрыта была плотно, в пакете просто для надежности видимо. Пробовала под глазами, эффект есть, но не вау конечно.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00061,wb_pair_00061,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,174,182,1.0459770114942528,neutral,negative,"Купила из-за хороших отзывов, но что-то не то. Первые дни вроде нормально было, голова не чесалась. Потом как-то волосы стали жестче обычного, приходится кондиционер больше наносить.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00148,wb_pair_00148,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,144,123,0.8541666666666666,negative,negative,"Заказывала эту лупу три раза. Первый раз так и не пришла, следующие две ужасные по качеству. Стекло или расцарапано, или мутное с пятнами внутри",0,wildberries_real
wb_pair_00015,wb_pair_00015,claude-sonnet-4-5,paired_v2_tone_matched_len_balanced,262,254,0.9694656488549618,negative,negative,"Пью уже вторую банку, колени как хрустели так и хрустят, но вроде немного получше стало. Или мне кажется, не знаю. Вкус странноватый, ожидала что-то более приятное, но пить можно. Может просто нужно дольше принимать чтобы эффект был, пока сложно сказать.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00078,wb_pair_00078,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,225,200,0.8888888888888888,negative,negative,"Купила крем этой марки впервые, полагаясь на положительные отзывы. Очень разочарована, крем абсолютно никакого действия не оказывает, даже элементарного увлажнения, пользовалась им больше 2 недель, в итоге купила проверенный.",0,wildberries_real
wb_pair_00113,wb_pair_00113,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,140,122,0.8714285714285714,neutral,negative,"Я очень расстроена, так как прислали целую коробку не того джема ! Шёл тоже долго.Такой не ем, обнаружила , что прислали не тот только дома.",0,wildberries_real
wb_pair_00099,wb_pair_00099,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,161,143,0.8881987577639752,neutral,neutral,"Взяла эти полоски после неудачного опыта с другими. Тут всё нормально снялось, никаких проблем не было. Нос чистый стал, черные точки убрались.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00100,wb_pair_00100,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,399,409,1.0250626566416041,negative,negative,"Взяла эти свечи после того как прочитала отзывы. Честно, ожидала большего. Запах есть, но не такой насыщенный как думала. Горят нормально, правда фитиль иногда коптит немного. В целом для своей цены вполне себе вариант, если не ждать чего-то вау. Может просто мне такой аромат не зашёл, не знаю. Воск расходуется равномерно, это плюс. Но повторно брать буду думать, может попробую другой запах из этой линейки",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00104,wb_pair_00104,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,127,132,1.0393700787401574,neutral,neutral,О вкусе и полезных качествах сказать ничего не могу.Банка протекла.Крышка была с вмятиной на боку и открылась двумя пальчиками.,0,wildberries_real
wb_pair_00042,wb_pair_00042,claude-sonnet-4-5,paired_v2_tone_matched_len_balanced,250,231,0.924,neutral,mixed,"Всегда беру урбеч из кешью другого производителя ( паста более светлая и очень плотная). Эта паста жидкая и вкус не такой насыщенный и цвет темнее! Есть ощущение, что паста разбавлена и изначалбное ореховое сврье было обжарено! (((( больше не закажу!",0,wildberries_real
wb_pair_00131,wb_pair_00131,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,107,107,1.0,negative,negative,"Заказывала с опаской, но зря переживала. Консистенция нормальная, никаких комков или хлопьев не обнаружила.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00145,wb_pair_00145,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,126,130,1.0317460317460319,neutral,negative,"Кнопки нормально нажимаются, правда иногда чуть сбоку не срабатывают. Русские буквы видно, но при ярком свете надо приглядываться.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00007,wb_pair_00007,claude-sonnet-4-5,paired_v2_tone_matched_len_balanced,292,256,0.8767123287671232,negative,negative,"Заказывала в подарок, переживала как придёт. Пришло нормально, коробка целая, ничего не помято. Слюда на месте, всё читается. Упаковано было в пупырку дополнительно. Видимо как повезёт с доставкой и складом. У меня претензий нет, можно дарить в таком виде.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00088,wb_pair_00088,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,363,361,0.9944903581267218,negative,negative,"Брали ребёнку на 5 лет, в целом книга интересная, картинки яркие. Но вот возрастная маркировка 5+ явно занижена. Там есть разворот где довольно подробно про зачатие и сперматозоиды написано, с иллюстрациями. Для дошкольника это рановато на мой взгляд. Мы конечно читаем, но некоторые страницы пропускаем пока. Может для детей постарше лучше подойдёт, лет с 7-8.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00017,wb_pair_00017,claude-sonnet-4-5,paired_v2_tone_matched_len_balanced,158,151,0.9556962025316456,negative,negative,"До 04.2022 года, корока помятая, крышка баночки вся в царапинах, как будто с витрины, НЕ РЕКОМЕНДУЮ ПРОДАВЦА!!! Сама маска замечательная, работаю с ней давно.",0,wildberries_real
wb_pair_00014,wb_pair_00014,claude-sonnet-4-5,paired_v2_tone_matched_len_balanced,264,266,1.0075757575757576,neutral,negative,"Кофе вполне нормальный, не скажу что прям вау, но пить можно. Вкус обычный, ничего особенного. Правда цена последнее время какая-то странная стала, вроде наш российский производитель, а ценник как на импортный выставили. Может конечно у них расходы выросли, не знаю.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00033,wb_pair_00033,claude-sonnet-4-5,paired_v2_tone_matched_len_balanced,345,317,0.9188405797101449,neutral,negative,"Какой там мел и ментол в составе, откуда! Откуда в... алмазам взяться.. Испортилось все - даже зубной порошок невозможно найти нормальный. Обычный! Если бы там были мел и ментол! Это просто какие-то отходы какого-то полиэтиленового завода.. Не встречала ещё такого отвратительного химического вкуса ни у порошка, ни у зубной пасты, нигде вообще.",0,wildberries_real
wb_pair_00024,wb_pair_00024,claude-sonnet-4-5,paired_v2_tone_matched_len_balanced,295,299,1.0135593220338983,negative,negative,"Пробовала уже вкус хеллоуин, кокос и этот с ананасами. Два первых вкусные и удачные, этот же ужасен, просто клейстер с осадком на небе, как от шоколаде на пальмовом масле. Просто ужасно. Ещё и вопрос к безопасности, нет ли там пальмового масла. Ананасы сухие, жёсткие, безвкусные. Не рекомендую.",0,wildberries_real
wb_pair_00065,wb_pair_00065,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,131,108,0.8244274809160306,negative,neutral,"Заказывала этот гель, пришёл нормально упакованный, ничего не протекло. Консистенция приятная, запах лёгкий.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00119,wb_pair_00119,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,247,236,0.9554655870445344,negative,mixed,"Очень воняет. Уже прошло две недели, запах не улитучился. Едкий химический запах не исчезает. Каждый вечер, перед сном выносим клавиатуру и мышку в другую комнату, постоянно приходится проветривать квартиру, вообщем-то на улице минус, а дома дети.",0,wildberries_real
wb_pair_00007,wb_pair_00007,claude-sonnet-4-5,paired_v2_tone_matched_len_balanced,292,256,0.8767123287671232,negative,negative,"Товар пришёл без дополнительной упаковки! Невозвратный товар! Коробка с мятыми углами, слюда затертая до такой степени, что невозможно прочитать название на коробке. Как так? А если заказать для подарка? И придёт всё в таком непрезентабельном виде... Почему не заботитесь о своих покупателях?",0,wildberries_real
wb_pair_00090,wb_pair_00090,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,124,130,1.0483870967741935,neutral,negative,"В упаковке не достаёт одного пакета (пауч) Внешней вид коробки явно был поврежден, далее заклеен скотчем . Очень не приятно.",0,wildberries_real
wb_pair_00046,wb_pair_00046,claude-sonnet-4-5,paired_v2_tone_matched_len_balanced,222,209,0.9414414414414415,neutral,negative,"Шла две недели, да еще пришла открытая. Капец конечно. Видно же прям, что золотинка сверху под крышкой которая, открытая, не просто там продавили ее, а открытая. Как такое можно высылать. Безответственность сборщика. Позор",0,wildberries_real
wb_pair_00073,wb_pair_00073,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,181,161,0.8895027624309392,negative,neutral,"На мой Philips FC8132 easy life подошли* НО весь мусор при уборке залетает не в мешок, а мимо него. Отверстия у мешка которое соприкасается с шлангом пылесоса хлипкое. Не рекомендую",0,wildberries_real
wb_pair_00093,wb_pair_00093,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,173,144,0.8323699421965318,negative,negative,К большому сожалению не стала распаковывать в пункте выдачи!!! Открыв дома была в шоке!Кофе в ужасном состоянии! Пакет весь мятый!!! По ощущениям что его возили по асфальту!,0,wildberries_real
wb_pair_00076,wb_pair_00076,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,276,264,0.9565217391304348,negative,negative,"Прежде чем покупать на wildberries хочу предупредить, что если у вас что-то сломается то вернуть будет практически невозможно. Уже и акт сервисного центра прикладываю - не помогает. Говорят связываться с производителем. Хотя сервисный центр рекомендовал как раз производитель.",0,wildberries_real
wb_pair_00136,wb_pair_00136,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,189,196,1.037037037037037,negative,neutral,"Купил на работу, думал будет нормально. В итоге печатает криво, половина кнавиш не откликается или срабатывает через раз. Только скобки да слэш нормально идут, ну и num lock горит. Остальное мимо.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00060,wb_pair_00060,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,90,85,0.9444444444444444,neutral,negative,"Цвет на фото другой ,на самом делаете пришли очень тёмные , много чёрных все цвета тусклые",0,wildberries_real
wb_pair_00077,wb_pair_00077,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,121,91,0.7520661157024794,neutral,negative,Что с ценами? Товар российский! Никаких санкций на него нет! Вообще с ума сошли? Почти в 2 раза цена выросла! Оборзели...,0,wildberries_real
wb_pair_00063,wb_pair_00063,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,126,132,1.0476190476190477,neutral,neutral,"Очень не качественная косилка. Всё разваливается, отлетает. Разбирается в процессе работы. Г... Полное. Хватило на один сезон.",0,wildberries_real
wb_pair_00084,wb_pair_00084,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,150,156,1.04,neutral,negative,"Заказала две коробки, думала будет нормально. В итоге пришло все целое, упаковка хорошая. Правда одна коробка чуть помята была, но содержимое не пострадало.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00079,wb_pair_00079,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,102,105,1.0294117647058822,negative,mixed,"Думала будет хуже если честно, но все нормально. Да, иногда слоится немного, но если хорошо взболтать то.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00111,wb_pair_00111,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,225,199,0.8844444444444445,negative,negative,"Поддерживаю комментарии ниже о странной консистенции молока. Покупала его на постоянной основе. Всегда качество было на высоте. Вкусное, густое, жирное. В этот раз просто ужасное. Похоже на воду, смешанную с кокосовым маслом.",0,wildberries_real
wb_pair_00081,wb_pair_00081,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,336,342,1.0178571428571428,neutral,negative,"Взяли когда дочке было 2,8. Первую неделю носила нормально, потом научилась снимать сама. Силикон мягкий, растягивается легко даже при затяжке. Пыталась затянуть потуже но бесполезно, она все равно стаскивает когда захочет. Хотя в принципе привычку немного ослабило, днем реже тянется. Ночью правда все равно снимает и сосет палец как обычно.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00030,wb_pair_00030,claude-sonnet-4-5,paired_v2_tone_matched_len_balanced,167,170,1.0179640718562875,neutral,negative,"Брал на пробу, вкус нормальный оказался. Упаковка правда помятая приехала, но сам продукт целый. Думал хуже будет если честно. Состав посмотрел, вроде ничего лишнего нет.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00144,wb_pair_00144,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,170,174,1.0235294117647058,neutral,mixed,"Добрый день. Пришла паста упакованная в пузырьковую плёнку и пакет. Банка Не повреждена, при открытии был щелчок. Очень вкусная , невероятная 😍 Спасибо , буду брать ещё !",0,wildberries_real
wb_pair_00089,wb_pair_00089,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,187,194,1.0374331550802138,negative,negative,"Упаковка пришла немного помятая, видимо на складе так хранили. Сначала насторожилась, но сам флакон целый. Аромат вроде похож на оригинал, хотя я не эксперт конечно. Может партия такая, не знаю.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00075,wb_pair_00075,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,239,211,0.8828451882845189,neutral,neutral,"Гадость. Не поняла восторженных отзывов. Ни какого вкуса мороженого. До этого брала шоколад и клубнику этого же производителя, претензий к вкусу не было. А тут даже пенки нет при взбивании блэндером, какая то тяжёлая смесь с гадким вкусом.",0,wildberries_real
wb_pair_00147,wb_pair_00147,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,192,201,1.046875,mixed,negative,"Заказывала эти салфетки после того как у подруги попробовала похожие. Честно думала будет такой же результат, но нет. Может партия неудачная попалась или хранили неправильно, но они какие-то полусухие.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00128,wb_pair_00128,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,178,162,0.9101123595505618,negative,positive,"Заказывала базу 906, пришла точно она, цвет ровный, нежно-розовый. Использую в работе постоянно, с этой партией проблем не было, ложится хорошо, клиенты довольны.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00097,wb_pair_00097,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,124,126,1.0161290322580645,negative,negative,"Такой ужаснейшей базы для ногтей я ещё никогда не встречала!!!! Вздувается, не сохнет. Не тратьте деньги на ветер! 0 из 10!!",0,wildberries_real
wb_pair_00092,wb_pair_00092,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,169,149,0.8816568047337278,positive,negative,"Впервый раз купила молоко этой фирмы и полное разочерование, оно испорченно, вода и сгусток кокоса. Хорошо, что упаковку не закащала, теперь нет доверия вашей продукции.",0,wildberries_real
