pair_id,orig_pair_id,generator_model,prompt_version,real_len,fake_len,len_ratio,real_bucket,fake_bucket,text,is_fake,source
wb_pair_00021,wb_pair_00021,claude-sonnet-4-5,paired_v2_tone_matched_len_balanced,211,160,0.7582938388625592,neutral,negative,"Мыло приятное, натуральное. Запах правда специфический, травяной какой-то, но это же натуральный состав. Скраба особо не ощутила, может частички мелкие слишком.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00237,wb_pair_00237,claude-sonnet-4-5,claude_intents_len_balanced_500,73,48,0.6575342465753424,negative,negative,"Доставка была быстрая, но комплектация неполная.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00240,wb_pair_00240,claude-sonnet-4-5,claude_intents_len_balanced_500,342,243,0.7105263157894737,negative,negative,"Взяла шампунь и бальзам в июне, запах какой-то не такой стал, раньше нормально было. Химией отдаёт, хотя до этого брала эту же линейку и всё устраивало. Жаль, потому что по цене вариант был хороший, но с таким ароматом использовать не хочется.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00160,wb_pair_00160,claude-sonnet-4-5,claude_intents_len_balanced_500,52,52,1.0,neutral,neutral,"У меня пришла нормально закрытая, ничего не вытекло.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00411,wb_pair_00411,claude-sonnet-4-5,claude_intents_len_balanced_500,138,112,0.8115942028985508,neutral,negative,"Пришли ужасные туфли,совсем не те,что на картинке: мятые,37 р.вместо 38,уж точно не натуральные. Прошу это не учитывать в проценте выкупа!",0,wildberries_real
wb_pair_00178,wb_pair_00178,claude-sonnet-4-5,claude_intents_len_balanced_500,107,76,0.7102803738317757,negative,negative,"брала тоже смородиновый, пришёл с трещиной на крышке, но сама баночка целая.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00126,wb_pair_00126,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,198,202,1.02020202020202,negative,negative,"Брала на пробу, вкус нормальный, ничего особенного но съедобно. Срок годности был ещё нормальный, месяца полтора оставалось. Правда упаковка немного помятая приехала, но на содержимое не повлияло вроде.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00013,wb_pair_00013,claude-sonnet-4-5,paired_v2_tone_matched_len_balanced,353,365,1.0339943342776203,negative,mixed,"Брала набор в первый раз, честно говоря не очень верила что взойдет. Но нет, примерно через неделю появились первые ростки, штук 5-6. Правда один почему-то сразу завял, но остальные растут. Поливаю по инструкции, стоят на подоконнике. Пока доволен результатом, посмотрим что будет дальше. Семена мелкие конечно, сыпала аккуратно. В целом норм, ожидания оправдались.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00359,wb_pair_00359,claude-sonnet-4-5,claude_intents_len_balanced_500,60,55,0.9166666666666666,neutral,neutral,"Метража чуть не хватило, замерила - вышло 3,7 вместо 4.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00136,wb_pair_00136,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,189,196,1.037037037037037,negative,neutral,"Из хорошего! Num lock и Scroll lock работают. Ещё работают [],./\' Из плохого! Работают только они. (Проверено на двух машинах.) Очень достойная клавиатура если нужны лишь указанные клавиши",0,wildberries_real
wb_pair_00311,wb_pair_00311,claude-sonnet-4-5,claude_intents_len_balanced_500,59,56,0.9491525423728814,neutral,negative,"Линза с небольшими царапинками по краям, но на качестве.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00076,wb_pair_00076,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,276,264,0.9565217391304348,negative,negative,"Прежде чем покупать на wildberries хочу предупредить, что если у вас что-то сломается то вернуть будет практически невозможно. Уже и акт сервисного центра прикладываю - не помогает. Говорят связываться с производителем. Хотя сервисный центр рекомендовал как раз производитель.",0,wildberries_real
wb_pair_00136,wb_pair_00136,claude-sonnet-4-5,resume_no_categories_relaxed_len_balanced,189,196,1.037037037037037,negative,neutral,"Купил на работу, думал будет нормально. В итоге печатает криво, половина кнавиш не откликается или срабатывает через раз. Только скобки да слэш нормально идут, ну и num lock горит. Остальное мимо.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00473,wb_pair_00473,claude-sonnet-4-5,claude_intents_len_balanced_500,43,36,0.8372093023255814,neutral,negative,"Запах есть, но выветривается быстро.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00438,wb_pair_00438,claude-sonnet-4-5,claude_intents_len_balanced_500,130,118,0.9076923076923077,neutral,neutral,"Заказывала этот нож уже второй раз, опять пришёл не тот размер. На фото одно, по факту лезвие короче почти в два раза.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00399,wb_pair_00399,claude-sonnet-4-5,claude_intents_len_balanced_500,151,107,0.7086092715231788,neutral,negative,"Консистенция нормальная, не густая конечно, но и не течёт совсем. Вкус обычный ореховый, ничего особенного.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00280,wb_pair_00280,claude-sonnet-4-5,claude_intents_len_balanced_500,112,91,0.8125,negative,negative,"Пришёл поломанный. Хотела обменять, но Мама его сразу выкинула🙈 хотела написать обращение, а уже поздно. Обидно.",0,wildberries_real
wb_pair_00383,wb_pair_00383,claude-sonnet-4-5,claude_intents_len_balanced_500,213,182,0.8544600938967136,negative,negative,"Тапочки в целом нормальные, но на одном заметила небольшое пятнышко. Ткань на подошве тонковата, посмотрим как поносятся. Беру не первый раз, раньше вроде качество было чуть получше.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00261,wb_pair_00261,claude-sonnet-4-5,claude_intents_len_balanced_500,56,36,0.6428571428571429,negative,neutral,"Пришло через неделю, упаковка мятая.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00319,wb_pair_00319,claude-sonnet-4-5,claude_intents_len_balanced_500,136,131,0.9632352941176471,neutral,negative,"Самые ужаснные тени из 5 color tatoo, цвет желтый наносится на веко как жидкое тесто,цвет светлее самой светлой кожи,выброшенные деньги.",0,wildberries_real
wb_pair_00049,wb_pair_00049,claude-sonnet-4-5,paired_v2_tone_matched_len_balanced,374,337,0.9010695187165776,mixed,negative,"Взял триммер для дачи, честно думал будет хуже за такую цену. Проверял дома сразу, все работает нормально, вал крутится, ничего не заедает. Правда немного шумноват показался, но это наверное у всех таких моделей так. Пока использовал пару раз для травы возле забора, справляется. Посмотрим как дальше будет, но пока нареканий особых нет.",1,synthetic_llm_tone_matched_len_balanced
wb_pair_00174,wb_pair_00174,claude-sonnet-4-5,claude_intents_len_balanced_500,132,115,0.8712121212121212,negative,negative,"Очень ждали подставку, в итоге пришла сломанная! Поэтому возврат! Наверное стоило позаботиться о надлежащей упаковке перед отправкой",0,wildberries_real
