ood_pair_id,text,is_fake,source,prompt_version,fake_intent,text_len,word_count
ood_wb_00033,"Запах понравился, прям как хотела, стойкий такой.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,"преувеличить достоинства, но оставить бытовой стиль",49,7
ood_wb_00003,"Мешки подошли идеально, даже лучше оригинальных.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,"преувеличить достоинства, но оставить бытовой стиль",48,6
ood_wb_00020,"Заказывала для ребёнка, пришло быстро. Упаковка целая, всё на месте.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,нейтрально имитировать обычный покупательский отзыв,68,10
ood_wb_00045,"Вызвал жуткую аллергию, кожа покраснела, стала очень сухой, шелушится, под кожей образовались какие-то бугры (по типу прыщей). 😱",0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,128,18
ood_wb_00044,Выброшенные на ветер деньги! Ничего не взошло!,0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,46,7
ood_wb_00039,Второй раз беру испорченное молоко!верните деньги!,0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,50,6
ood_wb_00022,"Взяла на пробу, банка не полная!!!! Следов как будто её вскрывали не обнаружила...",0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,82,13
ood_wb_00030,"Покрытие держится нормально, но наносить нужно аккуратно. У меня с первого раза получилось не очень ровно, пришлось переделывать. В целом носится, но ожидала чуть лучше за такую цену.",1,synthetic_ood_claude_new_prompt,ood_claude_new_prompt_v1,нейтрально имитировать обычный покупательский отзыв,183,28
ood_wb_00010,"Банка пришла разбитая на мелкие осколочки, я вся порезалась!!! Я настолько опешила, что даже не сфотографировала это все, побежала обрабатывать руки!! Ужас!!!",0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,158,22
ood_wb_00000,"5 попыток было испечь хлеб с этой муки, и один результат - ""пирог из глины"".",0,wildberries_real_ood_hf_unseen,real_from_hf_unseen,,76,15
